   50																																																		
CWxx041     	0.01546	0.01438	0.03704	0.07812	0.16358	0.07865	0.01719	0.16059	0.01504	0.01445	0.18275	0.03598	0.01414	0.16785	0.01423	0.01426	0.01540	0.01422	0.19673	0.16401	0.01380	0.01629	0.16792	0.03411	0.15637	0.01419	0.15378	0.07893	0.17084	0.01484	0.03638	0.15502	0.04671	0.16309	0.20536	0.03731	0.03448	0.01492	0.16522	0.16794	0.00000	0.16657	0.03671	0.16565	0.03425	0.01456	0.03385	0.16181	0.18338	0.03595
CMAxx001    	0.16752	0.16819	0.16733	0.16835	0.11054	0.16804	0.16872	0.10872	0.16681	0.16745	0.16866	0.16855	0.16622	0.01372	0.16673	0.16596	0.16750	0.16654	0.17497	0.11129	0.16688	0.16686	0.11519	0.16754	0.10620	0.16796	0.10207	0.17139	0.11780	0.16704	0.16843	0.10338	0.17063	0.11027	0.19174	0.16893	0.16752	0.16708	0.11334	0.11442	0.16657	0.00000	0.16884	0.11286	0.16612	0.16668	0.16800	0.10920	0.17078	0.16986
CWxx010     	0.03842	0.03733	0.02038	0.08056	0.16475	0.08273	0.03860	0.16186	0.03793	0.03824	0.18465	0.03178	0.03697	0.17036	0.03717	0.03680	0.03691	0.03726	0.19842	0.16604	0.03620	0.03815	0.17045	0.01886	0.15814	0.03731	0.15573	0.08235	0.17296	0.03784	0.00813	0.15715	0.05564	0.16454	0.20791	0.02011	0.01990	0.03767	0.16725	0.17012	0.03671	0.16884	0.00000	0.16791	0.01978	0.03691	0.02095	0.16365	0.18594	0.02216
PCOxx002    	0.16654	0.16694	0.16662	0.16965	0.05445	0.16833	0.16760	0.09088	0.16581	0.16648	0.16853	0.16819	0.16527	0.11447	0.16482	0.16512	0.16637	0.16557	0.17481	0.01976	0.16570	0.16604	0.02645	0.16643	0.09145	0.16691	0.08510	0.17181	0.03805	0.16619	0.16748	0.08650	0.17016	0.09306	0.19081	0.16816	0.16665	0.16641	0.02794	0.04788	0.16565	0.11286	0.16791	0.00000	0.16528	0.16543	0.16628	0.09163	0.16905	0.16962
CWxx002     	0.03541	0.03553	0.02017	0.07892	0.16297	0.08076	0.03634	0.15947	0.03599	0.03583	0.18170	0.02939	0.03446	0.16805	0.03444	0.03576	0.03511	0.03494	0.19672	0.16352	0.03441	0.03579	0.16800	0.01602	0.15580	0.03626	0.15333	0.08040	0.17030	0.03602	0.01991	0.15490	0.05368	0.16273	0.20586	0.01629	0.01662	0.03567	0.16476	0.16784	0.03425	0.16612	0.01978	0.16528	0.00000	0.03487	0.01648	0.16207	0.18323	0.01806
CWxx039     	0.01511	0.01496	0.03710	0.07877	0.16319	0.07996	0.01638	0.16066	0.01573	0.01648	0.18311	0.03722	0.01557	0.16802	0.01584	0.01622	0.01554	0.01503	0.19714	0.16414	0.01499	0.01704	0.16820	0.03517	0.15659	0.01463	0.15370	0.07976	0.17124	0.01554	0.03611	0.15529	0.04602	0.16325	0.20634	0.03717	0.03543	0.01575	0.16493	0.16812	0.01456	0.16668	0.03691	0.16543	0.03487	0.00000	0.03492	0.16174	0.18343	0.03726
CWxx009     	0.03582	0.03452	0.01632	0.07890	0.16345	0.07983	0.03610	0.16190	0.03639	0.03512	0.18373	0.03041	0.03444	0.16950	0.03443	0.03505	0.03517	0.03450	0.19834	0.16434	0.03430	0.03584	0.16872	0.01646	0.15797	0.03526	0.15502	0.08032	0.17127	0.03622	0.02047	0.15645	0.05395	0.16415	0.20640	0.01806	0.01609	0.03620	0.16595	0.16892	0.03385	0.16800	0.02095	0.16628	0.01648	0.03492	0.00000	0.16364	0.18477	0.01710
PCOxx005    	0.16289	0.16290	0.16262	0.16595	0.08977	0.16609	0.16376	0.02251	0.16185	0.16289	0.16406	0.16438	0.16156	0.11017	0.16143	0.16103	0.16239	0.16182	0.17177	0.09006	0.16197	0.16154	0.09295	0.16326	0.03245	0.16299	0.04351	0.16863	0.09337	0.16215	0.16326	0.04607	0.16644	0.03258	0.18775	0.16338	0.16354	0.16242	0.09171	0.09419	0.16181	0.10920	0.16365	0.09163	0.16207	0.16174	0.16364	0.00000	0.16465	0.16541
WHxx002     	0.18389	0.18466	0.18598	0.18622	0.16514	0.18687	0.18521	0.16389	0.18325	0.18465	0.02001	0.18512	0.18314	0.17108	0.18255	0.18233	0.18384	0.18299	0.17082	0.16613	0.18355	0.18304	0.16894	0.18460	0.16430	0.18443	0.15673	0.18731	0.17300	0.18362	0.18553	0.15954	0.18787	0.16618	0.11543	0.18432	0.18458	0.18369	0.16692	0.16915	0.18338	0.17078	0.18594	0.16905	0.18323	0.18343	0.18477	0.16465	0.00000	0.18847
CWxx001     	0.03752	0.03790	0.01964	0.08088	0.16623	0.08161	0.03854	0.16343	0.03791	0.03672	0.18796	0.03168	0.03628	0.17192	0.03646	0.03738	0.03706	0.03655	0.19859	0.16668	0.03569	0.03786	0.17117	0.01730	0.15907	0.03718	0.15667	0.08335	0.17312	0.03803	0.02151	0.15793	0.05620	0.16712	0.20753	0.01976	0.01870	0.03794	0.16828	0.17178	0.03595	0.16986	0.02216	0.16962	0.01806	0.03726	0.01710	0.16541	0.18847	0.00000
